datetime_beginning_utc,datetime_beginning_ept,area,instantaneous_load
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,AE,836.335632
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,AEP,12240.527300
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,APS,3635.495610
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,ATSI,5788.762700
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,BC,2232.873540
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,COMED,9254.458000
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,DAYTON,1391.125370
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,DEOK,2165.115000
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,DOM,11429.289100
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,DPL,1323.122560
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,DUQ,1067.912350
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,EKPC,1079.949220
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,JC,1793.292000
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,ME,1125.076420
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,PE,2961.360000
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,PEP,2147.823490
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,PJM MID ATLANTIC REGION,20787.593800
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,PJM RTO,68840.230000
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,PJM WESTERN REGION,35547.812500
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,PL,3094.951420
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,PN,1389.098140
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,PS,3700.654000
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,RECO,125.776680
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,UG,66.100000
10/5/2025 7:35:00 AM,10/5/2025 3:35:00 AM,PJM SOUTHERN REGION,11429.289100
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,AE,839.772156
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,AEP,12372.596700
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,APS,3676.842290
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,ATSI,5689.630000
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,BC,2233.341000
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,COMED,9271.989000
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,DAYTON,1392.914920
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,DEOK,2186.075200
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,DOM,11425.601600
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,DPL,1326.476320
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,DUQ,1067.186000
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,EKPC,1201.567260
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,JC,1776.610000
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,ME,1128.547240
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,PE,2961.817870
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,PEP,2145.996000
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,PJM MID ATLANTIC REGION,20782.636700
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,PJM RTO,69067.040000
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,PJM WESTERN REGION,35666.043000
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,PL,3073.413570
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,PN,1372.678000
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,PS,3695.980220
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,RECO,126.411026
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,UG,66.100000
10/5/2025 7:30:00 AM,10/5/2025 3:30:00 AM,PJM SOUTHERN REGION,11425.601600
